"number","name","atlas_reference_count","coverage_status","centroid_munsell"
117,"Strong Yellow Green",152,"REPRESENTED","5.0GY 6.0/9.1"
118,"Deep Yellow Green",23,"REPRESENTED","5.0GY 4.0/9.1"
119,"Light Yellow Green",66,"REPRESENTED","5.0GY 8.6/5.2"
120,"Moderate Yellow Green",135,"REPRESENTED","5.0GY 6.0/5.2"
121,"Pale Yellow Green",48,"REPRESENTED","3.5GY 8.7/2.2"
122,"Grayish Yellow Green",87,"REPRESENTED","4.4GY 6.1/2.2"
123,"Strong Olive Green",3,"REPRESENTED","5.0GY 3.2/7.8"
124,"Deep Olive Green",0,"DEFINED_NOT_SAMPLED","5.0GY 2.4/7.1"
125,"Moderate Olive Green",104,"REPRESENTED","5.0GY 3.5/5.2"
126,"Dark Olive Green",41,"REPRESENTED","5.0GY 1.8/3.7"
127,"Grayish Olive Green",42,"REPRESENTED","5.0GY 3.5/2.2"
128,"Dark Grayish Olive Green",30,"REPRESENTED","5.0GY 2.0/2.0"
129,"Vivid Yellowish Green",235,"REPRESENTED","0.5G 7/15.5"
130,"Brilliant Yellowish Green",77,"REPRESENTED","0.5G 8.0/9.1"
131,"Strong Yellowish Green",107,"REPRESENTED","0.5G 5.5/9.1"
132,"Deep Yellowish Green",142,"REPRESENTED","0.5G 3.5/11.5"
133,"Very Deep Yellowish Green",16,"REPRESENTED","0.5G 2.0/9.2"
134,"Very Light Yellowish Green",9,"REPRESENTED","0.5G 9.1/5.1"
135,"Light Yellowish Green",101,"REPRESENTED","0.5G 7.5/5.1"
136,"Moderate Yellowish Green",96,"REPRESENTED","0.5G 5.5/5.1"
137,"Dark Yellowish Green",108,"REPRESENTED","0.5G 3.5/5.1"
138,"Very Dark Yellowish Green",79,"REPRESENTED","0.5G 1.5/4.9"
139,"Vivid Green",168,"REPRESENTED","6.5G 5.2/18"
140,"Brilliant Green",85,"REPRESENTED","6.0G 7.4/9.1"
141,"Strong Green",60,"REPRESENTED","6.0G 4.5/9.1"
142,"Deep Green",49,"REPRESENTED","6.0G 2.3/9.1"
143,"Very Light Green",27,"REPRESENTED","6.0G 8.6/5.1"
144,"Light Green",67,"REPRESENTED","6.0G 6.5/5.1"
145,"Moderate Green",68,"REPRESENTED","6.0G 4.5/5.1"
146,"Dark Green",45,"REPRESENTED","6.0G 2.7/5.0"
147,"Very Dark Green",46,"REPRESENTED","6.0G 1.3/4.9"
148,"Very Pale Green",71,"REPRESENTED","9.0G 8.7/1.8"
149,"Pale Green",82,"REPRESENTED","9.0G 6.5/1.8"
150,"Grayish Green",61,"REPRESENTED","9.0G 4.5/1.8"
151,"Dark Grayish Green",45,"REPRESENTED","9.0G 2.8/1.6"
152,"Blackish Green",62,"REPRESENTED","9.0G 1.1/1.4"
153,"Greenish White",41,"REPRESENTED","7.0G 9.2/0.8"
154,"Light Greenish Gray",71,"REPRESENTED","7.0G 7.5/0.8"
155,"Greenish Gray",73,"REPRESENTED","7.0G 5.5/0.8"
156,"Dark Greenish Gray",73,"REPRESENTED","7.0G 3.5/0.8"
157,"Greenish Black",0,"DEFINED_NOT_SAMPLED","7.5G 0.9/0.7"
158,"Vivid Bluish Green",165,"REPRESENTED","4.5BG 5.3/15.5"
159,"Brilliant Bluish Green",96,"REPRESENTED","4.5BG 7.3/9.0"
160,"Strong Bluish Green",131,"REPRESENTED","4.5BG 4.5/9.0"
161,"Deep Bluish Green",85,"REPRESENTED","4.5BG 2.3/9.0"
162,"Very Light Bluish Green",50,"REPRESENTED","4.5BG 8.5/5.0"
163,"Light Bluish Green",125,"REPRESENTED","4.5BG 6.5/5.0"
164,"Moderate Bluish Green",139,"REPRESENTED","4.5BG 4.5/5.0"
165,"Dark Bluish Green",119,"REPRESENTED","4.5BG 2.7/5.0"
166,"Very Dark Bluish Green",109,"REPRESENTED","4.5BG 1.3/4.9"
167,"Vivid Greenish Blue",105,"REPRESENTED","4.5B 5.2/13"
168,"Brilliant Greenish Blue",107,"REPRESENTED","4.5B 6.8/9.0"
169,"Strong Greenish Blue",129,"REPRESENTED","4.5B 4.5/9.0"
170,"Deep Greenish Blue",43,"REPRESENTED","4.5B 2.5/9.0"
171,"Very Light Greenish Blue",42,"REPRESENTED","4.5B 8.2/5.2"
172,"Light Greenish Blue",107,"REPRESENTED","4.5B 6.5/5.2"
173,"Moderate Greenish Blue",103,"REPRESENTED","4.5B 4.5/5.2"
174,"Dark Greenish Blue",105,"REPRESENTED","4.5B 2.7/5.0"
175,"Very Dark Greenish Blue",58,"REPRESENTED","4.5B 1.3/4.9"
176,"Vivid Blue",175,"REPRESENTED","3.0PB 4.2/15"
177,"Brilliant Blue",48,"REPRESENTED","3.0PB 6.4/11.0"
178,"Strong Blue",165,"REPRESENTED","3.0PB 4.2/11.0"
179,"Deep Blue",70,"REPRESENTED","3.0PB 2.0/9.0"
180,"Very Light Blue",10,"REPRESENTED","2.4PB 8.2/7.2"
181,"Light Blue",91,"REPRESENTED","2.7PB 6.5/7.3"
182,"Moderate Blue",151,"REPRESENTED","2.9PB 4.2/7.2"
183,"Dark Blue",142,"REPRESENTED","2.8PB 1.7/5.0"
184,"Very Pale Blue",104,"REPRESENTED","0.9PB 8.4/3.0"
185,"Pale Blue",118,"REPRESENTED","0.9PB 6.5/3.0"
186,"Grayish Blue",147,"REPRESENTED","0.9PB 4.2/3.0"
187,"Dark Grayish Blue",45,"REPRESENTED","9.5B 2.6/1.9"
188,"Blackish Blue",66,"REPRESENTED","9.5B 1.1/1.5"
189,"Bluish White",13,"REPRESENTED","9.5B 9.1/1.0"
190,"Light Bluish Gray",34,"REPRESENTED","9.5B 7.5/1.0"
191,"Bluish Gray",67,"REPRESENTED","9.5B 5.5/1.0"
